Symbol,SL Multi,TP Multi,EMA Period,ATR Period,Max Hold,Win Rate (%),Profit Factor,Total Trades,PnL Net,Num Wins,Num Losses,Avg Hold (Candles)
JELLYJELLYUSDT,2.5,1.7,15,10,30,65.52,1.22,29,-0.0001,19,10,11.3
JELLYJELLYUSDT,2.5,2.0,10,20,30,66.67,1.27,42,-0.0000,28,14,11.6
JELLYJELLYUSDT,2.5,2.0,15,14,30,65.52,1.38,29,0.0001,19,10,11.7
JELLYJELLYUSDT,2.5,2.0,15,20,30,65.52,1.39,29,0.0001,19,10,11.7
JELLYJELLYUSDT,3.0,1.7,10,14,30,71.43,1.23,42,-0.0001,30,12,12.1
JELLYJELLYUSDT,3.0,1.7,15,10,30,68.97,1.30,29,-0.0000,20,9,12.5
JELLYJELLYUSDT,3.0,1.7,15,14,30,68.97,1.28,29,-0.0000,20,9,12.5
JELLYJELLYUSDT,3.0,1.7,15,20,30,68.97,1.28,29,-0.0000,20,9,12.2
JELLYJELLYUSDT,3.0,2.0,10,14,30,69.05,1.40,42,0.0001,29,13,13.5
JELLYJELLYUSDT,3.0,2.0,10,20,30,71.43,1.37,42,0.0001,30,12,12.7
JELLYJELLYUSDT,3.0,2.0,15,14,30,68.97,1.52,29,0.0002,20,9,13.2
JELLYJELLYUSDT,3.0,2.0,15,20,30,68.97,1.52,29,0.0002,20,9,13.1
JELLYJELLYUSDT,3.0,2.2,10,14,30,64.29,1.29,42,0.0000,27,15,14.4
JELLYJELLYUSDT,3.0,2.2,10,20,30,64.29,1.23,42,-0.0000,27,15,13.9
JELLYJELLYUSDT,3.0,2.2,15,14,30,62.07,1.31,29,0.0001,18,11,14.5
JELLYJELLYUSDT,3.0,2.2,15,20,30,62.07,1.30,29,0.0000,18,11,14.3
JELLYJELLYUSDT,3.0,2.5,10,20,30,61.90,1.36,42,0.0002,26,16,14.7
JELLYJELLYUSDT,3.0,2.5,15,20,30,62.07,1.49,29,0.0002,18,11,14.5
BRUSDT,2.0,1.7,10,10,30,66.67,1.34,54,0.0001,36,18,9.8
BRUSDT,2.0,1.7,10,14,30,66.07,1.48,56,0.0009,37,19,9.2
BRUSDT,2.0,1.7,10,20,30,67.86,1.56,56,0.0012,38,18,8.1
BRUSDT,2.0,1.7,15,10,30,67.74,1.58,31,0.0007,21,10,11.1
BRUSDT,2.0,1.7,15,14,30,65.62,1.46,32,0.0003,21,11,10.3
BRUSDT,2.0,1.7,15,20,30,68.75,1.60,32,0.0007,22,10,9.5
BRUSDT,2.0,1.7,20,10,30,62.50,1.26,24,-0.0001,15,9,10.6
BRUSDT,2.0,1.7,20,14,30,62.50,1.25,24,-0.0002,15,9,10.1
BRUSDT,2.0,1.7,20,20,30,64.00,1.25,25,-0.0002,16,9,9.2
BRUSDT,2.0,2.0,10,10,30,61.11,1.31,54,0.0002,33,21,11.8
BRUSDT,2.0,2.0,10,14,30,63.64,1.47,55,0.0009,35,20,11.3
BRUSDT,2.0,2.0,10,20,30,64.29,1.71,56,0.0022,36,20,9.8
BRUSDT,2.0,2.0,15,10,30,61.29,1.55,31,0.0007,19,12,13.2
BRUSDT,2.0,2.0,15,14,30,62.50,1.63,32,0.0009,20,12,12.5
BRUSDT,2.0,2.0,15,20,30,62.50,1.63,32,0.0008,20,12,11.9
BRUSDT,2.0,2.2,10,10,30,61.11,1.44,54,0.0010,33,21,12.2
BRUSDT,2.0,2.2,10,20,30,60.71,1.63,56,0.0020,34,22,10.8
BRUSDT,2.0,2.2,15,10,30,61.29,1.68,31,0.0012,19,12,13.8
BRUSDT,2.0,2.2,15,20,30,62.50,1.78,32,0.0013,20,12,12.6
BRUSDT,2.5,1.7,10,14,30,69.09,1.36,55,0.0005,38,17,9.8
BRUSDT,2.5,1.7,10,20,30,72.73,1.50,55,0.0012,40,15,8.9
BRUSDT,2.5,1.7,15,10,30,70.97,1.52,31,0.0006,22,9,11.5
BRUSDT,2.5,1.7,15,14,30,70.97,1.53,31,0.0006,22,9,11.0
BRUSDT,2.5,1.7,15,20,30,74.19,1.69,31,0.0010,23,8,10.0
BRUSDT,2.5,1.7,20,10,30,66.67,1.24,24,-0.0001,16,8,10.8
BRUSDT,2.5,1.7,20,14,30,66.67,1.23,24,-0.0002,16,8,10.2
BRUSDT,2.5,1.7,20,20,30,68.00,1.22,25,-0.0002,17,8,9.6
BRUSDT,2.5,2.0,10,14,30,66.67,1.36,54,0.0005,36,18,12.0
BRUSDT,2.5,2.0,10,20,30,67.27,1.58,55,0.0018,37,18,10.9
BRUSDT,2.5,2.0,15,10,30,64.52,1.47,31,0.0006,20,11,13.5
BRUSDT,2.5,2.0,15,14,30,67.74,1.72,31,0.0012,21,10,13.3
BRUSDT,2.5,2.0,15,20,30,67.74,1.73,31,0.0011,21,10,12.5
BRUSDT,2.5,2.0,20,14,30,62.50,1.35,24,0.0001,15,9,12.4
BRUSDT,2.5,2.0,20,20,30,62.50,1.34,24,0.0001,15,9,11.7
BRUSDT,2.5,2.2,10,10,30,62.96,1.26,54,0.0001,34,20,12.6
BRUSDT,2.5,2.2,10,14,30,62.96,1.28,54,0.0001,34,20,12.6
BRUSDT,2.5,2.2,10,20,30,63.64,1.49,55,0.0016,35,20,12.0
BRUSDT,2.5,2.2,15,10,30,64.52,1.60,31,0.0011,20,11,14.2
BRUSDT,2.5,2.2,15,14,30,64.52,1.62,31,0.0011,20,11,14.2
BRUSDT,2.5,2.2,15,20,30,67.74,1.89,31,0.0016,21,10,13.3
BRUSDT,2.5,2.2,20,20,30,62.50,1.48,24,0.0005,15,9,12.6
